[2022-07-13 23:23:09,256] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:09,256] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:09,256] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:12,270] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:12,270] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:12,271] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:12,271] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:12,271] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:12,271] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:15,277] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:15,277] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:15,278] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:15,278] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:15,278] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:15,278] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:18,292] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:18,293] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:18,293] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:18,293] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:18,293] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:18,294] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:21,302] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:21,302] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:21,303] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:21,303] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:21,303] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:21,303] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:24,318] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:27,329] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:27,329] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:27,329] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:27,329] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:27,329] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:27,330] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:30,333] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:30,333] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:30,333] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:30,333] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:30,334] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:30,334] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:33,347] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:33,347] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:33,347] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:33,347] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:33,348] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:33,348] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:36,358] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:36,358] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:36,359] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:36,359] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:36,359] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:36,359] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:39,373] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:39,373] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:39,373] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:39,373] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:39,374] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:39,374] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:42,389] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
